Campaign,Campaign Type,Campaign Daily Budget,Bid Strategy Type,Ad Group,Max CPC,Keyword,Criterion Type,Ad type,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Status
PSI - Large Residential,,,,,,cheap,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,cheapest,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,affordable,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,low cost,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,lowest price,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,budget,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,discount,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,bargain,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,deal,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,inexpensive,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,economy,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,value priced,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,best price,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,price match,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,lowest bid,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,diy,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,do it yourself,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,how to,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,how much,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,average cost,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,cost calculator,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,cost estimator,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,estimate calculator,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,price per square foot,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,cost per square foot,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,ideas,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,inspiration,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,pictures,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,photos,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,design ideas,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,floor plans,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,tutorial,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,youtube,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,reddit,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,guide,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,software,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,app,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,handyman,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,odd jobs,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,hourly rate,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,per hour,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,small repair,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,repair service,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,patch,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,drywall patch,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,touch up,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,maintenance,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,snow removal,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,landscaping,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,lawn,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,roofing only,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,roof repair,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,gutter,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,siding only,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,window replacement,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,appliance,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,plumber,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,electrician only,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,hvac,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,cleaning,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,junk removal,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,pressure washing,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,painting only,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,mobile home,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,trailer,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,manufactured home,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,rv,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,camper,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,shed,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,garage only,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,tiny home,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,apartment for rent,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,apartments for rent,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,rent,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,rental listing,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,condo association,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,hoa,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,jobs,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,job openings,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,hiring,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,now hiring,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,careers,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,career,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,employment,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,salary,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,wage,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,pay rate,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,apprentice,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,apprenticeship,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,union,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,resume,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,application,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,work for,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,looking for work,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,subcontractor wanted,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,laborer,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,helper wanted,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,grant,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,grants,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,free,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,no cost,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,financing bad credit,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,bad credit,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,no credit check,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,section 8,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,low income,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,assistance program,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,government program,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,weatherization,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,habitat for humanity,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,non profit,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,charity,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,insurance claim,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,storm damage,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,home depot,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,lowes,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,menards,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,84 lumber,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,angi,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,angies list,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,thumbtack,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,homeadvisor,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,networx,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,porch,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,houzz pro,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,yelp,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,bark,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,craigslist,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,facebook marketplace,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,nextdoor,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,license,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,licensing,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,how to become,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,contractor license pa,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,certification,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,course,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,class,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,training,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,school,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,exam,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,insurance cost,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,bond,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,contract template,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,invoice template,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,estimate template,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,software,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,faucet,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,toilet,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,sink,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,leak,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,leaky,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,clogged,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,drain,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,water heater,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,furnace,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,boiler,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,outlet,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,light fixture,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,ceiling fan,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,door install,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,door replacement,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,fence,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,deck repair,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,porch repair,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,step repair,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,concrete repair,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,crack,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,mold,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,tv mount,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,shelf,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,closet,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,paint a room,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,one room,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,small job,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,quick fix,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,same day,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,emergency,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,hourly,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,by the hour,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Large Residential,,,,,,free quote only,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Entry Jobs,,,,,,cheap,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Entry Jobs,,,,,,cheapest,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Entry Jobs,,,,,,affordable,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Entry Jobs,,,,,,low cost,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Entry Jobs,,,,,,lowest price,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Entry Jobs,,,,,,budget,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Entry Jobs,,,,,,discount,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Entry Jobs,,,,,,bargain,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Entry Jobs,,,,,,deal,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Entry Jobs,,,,,,inexpensive,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Entry Jobs,,,,,,economy,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Entry Jobs,,,,,,value priced,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Entry Jobs,,,,,,best price,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Entry Jobs,,,,,,price match,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Entry Jobs,,,,,,lowest bid,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Entry Jobs,,,,,,diy,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Entry Jobs,,,,,,do it yourself,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Entry Jobs,,,,,,how to,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Entry Jobs,,,,,,how much,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Entry Jobs,,,,,,average cost,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Entry Jobs,,,,,,cost calculator,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Entry Jobs,,,,,,cost estimator,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Entry Jobs,,,,,,estimate calculator,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Entry Jobs,,,,,,price per square foot,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Entry Jobs,,,,,,cost per square foot,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Entry Jobs,,,,,,ideas,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Entry Jobs,,,,,,inspiration,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Entry Jobs,,,,,,pictures,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Entry Jobs,,,,,,photos,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Entry Jobs,,,,,,design ideas,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Entry Jobs,,,,,,floor plans,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Entry Jobs,,,,,,tutorial,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Entry Jobs,,,,,,youtube,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Entry Jobs,,,,,,reddit,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Entry Jobs,,,,,,guide,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
