Campaign,Campaign Type,Campaign Daily Budget,Bid Strategy Type,Ad Group,Max CPC,Keyword,Criterion Type,Ad type,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Status
PSI - Large Residential,Search,24.00,Manual CPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paused
PSI - Large Residential,,,,Additions,9.00,,,,,,,,,,,,,,,,,,,,,,,,,,Enabled
PSI - Large Residential,,,,Additions,9.00,home addition contractor,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
PSI - Large Residential,,,,Additions,9.00,room addition contractor,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
PSI - Large Residential,,,,Additions,9.00,house addition contractor,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
PSI - Large Residential,,,,Additions,9.00,home addition contractor,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
PSI - Large Residential,,,,Additions,9.00,room addition contractor near me,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
PSI - Large Residential,,,,Additions,9.00,second story addition,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
PSI - Large Residential,,,,Additions,9.00,second floor addition contractor,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
PSI - Large Residential,,,,Additions,9.00,dormer addition contractor,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
PSI - Large Residential,,,,Additions,9.00,in law suite addition,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
PSI - Large Residential,,,,Additions,9.00,mother in law suite contractor,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
PSI - Large Residential,,,,Additions,9.00,home addition builder,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
PSI - Large Residential,,,,Additions,9.00,addition contractor near me,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
PSI - Large Residential,,,,Additions,,,,Responsive search ad,https://psiconstructionpa.com/,Additions,NEPA,Most Projects $75K-$1M,Home Addition Contractor,Second Story & Dormer Adds,In-Law Suite Additions,Additions Built to Last,"Design, Permits, Build",PA HIC #213035,Licensed & Fully Insured,"In-House Crews, Not Subs","Kingston, PA Based",Serving the Back Mountain,Written Schedules,Talk to the Owner Directly,"One Crew, Start to Finish",Workers' Comp Covered,"Room additions, dormers and second stories across the Wyoming Valley. PA HIC #213035.","Most of our additions run $75K to $1M. If that is your range, let us talk scope.","In-house crews, written schedules, workers comp covered. Licensed and insured in PA.","Kingston-based contractor serving Luzerne, Lackawanna and Wyoming counties.",Enabled
PSI - Large Residential,,,,Additions,,,,Responsive search ad,https://psiconstructionpa.com/,Additions,Dormers,Additions Others Decline,Second Story Specialists,Home Addition Contractor,PA HIC #213035,Most Projects $75K-$1M,Dormers & In-Law Suites,Licensed & Fully Insured,Structural Work Included,Design Through Punch List,Wyoming Valley Contractor,"In-House Crews, Not Subs",Workers' Comp Covered,Written Schedules,Luzerne & Lackawanna Co.,"One Crew, Start to Finish","Second stories, dormers and in-law suites. Structural work handled in house.",We take on additions many contractors turn down. Typical range $75K to $1M.,"Registered PA home improvement contractor #213035. Licensed, insured, comp covered.","Serving Kingston, Dallas, Shavertown, Mountain Top and the wider Back Mountain.",Enabled
PSI - Large Residential,,,,Whole Home,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,Enabled
PSI - Large Residential,,,,Whole Home,10.00,whole house renovation contractor,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
PSI - Large Residential,,,,Whole Home,10.00,whole home remodel contractor,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
PSI - Large Residential,,,,Whole Home,10.00,gut renovation contractor,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
